PlotID,paired_site,forest_type,fire_name,burn_sev_category,longitude,latitude,field elevation (m),field elevation (ft),slope (%),aspect,canopy_cover,avg_seed_source,conifer_seed_source,JUSC_seed_source,PIED_seed_source,PIPO_seed_source,PSME_seed_source,ABCO_seed_source,PICO_seed_source,POTR_seed_source ,PIFL_seed_source,PIAR_seed_source,ABLA_seed_source,PIEN_seed_source,bg_cover,lt_cover,wd_cover,rk_cover,gm_cover,fb_cover,sh_cover,tr_cover,ol_cover,total_cover,fuels_1,fuels_10,fuels_100,litter_avg_cm,duff_avg_cm,total_ba,live_ba,PIPO_live_ba,PSME_live_ba,ABCO_live_ba ,PICO_live_ba ,POTR_live_ba ,PIFL_live_ba ,PIAR_live_ba ,ABLA_live_ba ,PIEN_live_ba ,dead_ba,PIPO_dead_ba,PSME_dead_ba,ABCO_dead_ba,PICO_dead_ba,POTR_dead_ba,PIFL_dead_ba,PIAR_dead_ba,ABLA_dead_ba,PIEN_dead_ba,POTR,QUGA,RONE,deciduous_total,PIPO,PSME,ABCO,PICO,PIFL,PIAR,ABLA,PIEN,conifer_total
LS01,HS01,Lower Montane,Spring Creek,Low,-105.121941,37.572497,2661.5,8731.955381,15,105,35.9375,39.12484,39.12484,,,32.74005,31.64946667,39.99708571,,,,,,,0.070866142,0.74015748,0.070866142,0.118110236,0.062992126,0.582677165,0.070866142,0.070866142,0,0.787401575,13,8,3,0.687916667,0.529166667,24.10489348,4.471455843,4.471455843,0,0,0,0,0,0,0,0,19.63343764,9.267843741,8.698745967,1.66684793,0,0,0,0,0,0,0,2468.525648,0,2468.525648,0,0,0,0,NA,NA,NA,NA,0
LS02 ,HS02,Lower Montane,Spring Creek,Low,-105.124479,37.572405,2727.6,8948.818898,7,244,42.42424242,13.15384615,13.15384615,,,14.1875,9.25,13,,,,,,,0.133858268,0.68503937,0.11023622,0.070866142,0.196850394,0.275590551,0.039370079,0.125984252,0,0.637795276,52,32,6,0.846666667,0.79375,23.07478046,17.13559247,9.035749416,4.504994406,3.594848644,0,0,0,0,0,0,5.939187998,1.184987755,0,4.754200243,0,0,0,0,0,0,3053.176459,3897.672076,0,6950.848535,0,909.4568177,64.96120126,0,NA,NA,NA,NA,974.4180189
LS07,HS14,Lower Montane,Spring Creek,Low,-105.135173,37.45171,2678,8786.089239,15,300,41.26984127,41.81818182,41.81818182,,,41.81818182,,,,,,,,,0.141732283,0.692913386,0.125984252,0.039370079,0.204724409,0.377952756,0.062992126,0.125984252,0.037037037,0.779527559,33,34,7,0.899583333,0.47625,19.18623605,17.06017737,17.06017737,0,0,0,0,0,0,0,0,2.126058686,0,2.126058686,0,0,0,0,0,0,0,0,2260.000192,318.3098862,2578.310078,0,0,0,0,NA,NA,NA,NA,0
LS08,HS09,Lower Montane,Spring Creek,Low,-105.135673,37.449468,2685,8809.055118,11,90,52.38095238,41.61538462,41.61538462,,,23.4375,133,55.125,,,,,,,0.102362205,0.692913386,0.196850394,0.007874016,0.070866142,0.566929134,0.05511811,0.05511811,0.074074074,0.763779528,12,48,21,1.42875,1.217083333,22.64612153,21.98599052,17.61483925,4.371151271,0,0,0,0,0,0,0,0.660131017,0,0.660131017,0,0,0,0,0,0,0,844.4956164,0,1494.107629,2338.603245,0,64.96120126,0,909.4568177,NA,NA,NA,NA,974.4180189
LS09,HS10,Lower Montane,Spring Creek,Low,-105.13189,37.448951,2682,8799.212598,28,273,41.26984127,34.33333333,34.33333333,,,28,43.75,32.33333333,,,,,,,0.456692913,0.42519685,0.118110236,0,0.086614173,0.322834646,0.015748031,0.047244094,0,0.472440945,46,28,4,0.15875,0,38.32138646,25.13593985,13.7516821,11.38425776,0,0,0,0,0,0,0,13.18544661,0.941382049,12.24406456,0,0,0,0,0,0,0,0,0,3087.605896,3087.605896,0,0,0,0,NA,NA,NA,NA,0
LS10,HS11,Lower Montane,Spring Creek,Low,-105.128638,37.459236,2595.1,8514.107612,17,169,38.0952381,32.35,32.35,,,30.4,35,34.125,,,,,,,0.094488189,0.826771654,0.062992126,0.015748031,0.393700787,0.125984252,0.05511811,0.070866142,0,0.645669291,3,42,1,1.42875,0.582083333,31.97009103,31.97009103,30.51349692,1.456594117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.844805,3442.943667,0,3702.788472,0,0,0,0,NA,NA,NA,NA,0
LS20,HS20,Upper Montane,Spring Creek,Low,-105.248405,37.487495,3010,9875.328084,11.4,6,30.15873016,26.82043097,26.5604175,,,,15.77410667,14.8336,,27.2288,16.65417143,,,,0.141732283,0.62992126,0.220472441,0.007874016,0.062992126,0.062992126,0.086614173,0.007874016,0,0.220472441,125,127,17,0.846666667,0.15875,15.69866103,14.2391424,0,4.63746862,0,0,0,9.601673782,0,0,0,1.45951863,0,0,0.622236796,0,0,0.837281833,0,0,0,294.7200057,0,NA,294.7200057,NA,0,0,0,12.28000024,NA,NA,NA,12.28000024
LS22,HS22,Upper Montane,Spring Creek,Low,-105.198933,37.442088,3022.7,9916.994751,28,197,23.80952381,41.85355429,41.85355429,,,45.72,35.955,17.9104,,21.6408,30.655,,,,0.31496063,0.401574803,0.228346457,0.05511811,0.023622047,0.118110236,0.118110236,0,0,0.25984252,108,115,15,0.582083333,0.15875,9.095795266,6.926366676,0,0,1.381427912,0,0,6.192313927,0,0,0,2.169428591,0,1.522053428,0,0,0,0.647375163,0,0,0,732.1127382,0,NA,732.1127382,NA,0,0,0,0,NA,NA,NA,0
LS25,HS25,Upper Montane,Spring Creek,Low,-105.20075,37.608824,2884.8,9464.566929,16,304,53.125,10.65,12.7,,,,,,12.7,8.6,,,,,0.039370079,0.716535433,0.244094488,0,0.433070866,0.25984252,0.05511811,0.039370079,0,0.787401575,171,130,19,1.957916667,0.687916667,22.70118949,10.52289536,0,0,0,1.689621797,7.648285807,0,0,0,0,12.17829413,0,0,1.362947479,9.241834243,0.926137248,0,0,0,0,3313.021264,0,NA,3313.021264,NA,64.96120126,0,7145.732139,0,NA,NA,NA,7210.69334
LS26,HS26,Upper Montane,Spring Creek,Low,-105.197859,37.609189,2899.3,9512.139108,13,296,38.66666667,13.92307692,14.8125,,,,,14.5,14.91666667,12.5,,,,,0.149606299,0.653543307,0.196850394,0,0.433070866,0.31496063,0.039370079,0.078740157,0,0.866141732,52,93,19,1.217083333,1.481666667,38.81650028,14.73214062,0,0,7.721834196,1.522053428,5.488252992,0,0,0,0,24.08435967,0,0,5.920520894,10.3148816,7.848957174,0,0,0,0,5092.958179,0,NA,5092.958179,NA,0,0,28011.26998,0,NA,NA,NA,28011.26998
